relative_time,distance_angle,instantaneous_amplitude,instantaneous_frequency,rms_amplitude,rms_frequency,phase_shift,wave_type,P_wave_arrival_time,S_wave_arrival_time,depth_of_source,P_wave_velocity,S_wave_velocity
0,19.681845199813274,0.9323247293862524,0.7061421254486128,3.917976359382635,1.2611465370675166,227.3952607515436,P,194.0562198231223,332.66780541106675,21.82110482691875,5.764035070689364,3.051355078856276
15,8.954332197639943,0.7765160048968069,0.6867681561083393,2.2623508059649478,0.1627876117806444,323.27846222654074,P,103.28663368061466,166.3485148810537,190.5983020544262,6.195832331219032,3.884951938728882
30,22.1389683437659,3.611055510358775,0.5564730852856402,2.9620411447356525,2.489592597336731,14.179937969760307,P,248.28260836111747,404.1987571904871,626.5921662193033,5.80680945871742,3.452981210946189
45,134.46339433976095,6.469478249038951,0.19510129152506378,3.6179686497028207,1.6297839949012072,53.02193605121213,P,1370.7627902899767,2317.7362119256745,266.3525847286086,5.699603827967204,3.101173756262011
60,155.29954241788903,7.736373294887682,1.4347649742405462,3.7576414874748334,1.7824213989125426,296.2090316289859,P,1591.2000392200061,2684.914352948582,482.1188135278908,6.0874265728812444,3.816271498719639
75,70.85464152956715,7.317190238102895,4.57238314239834,0.2865740465317336,1.6762550140592436,168.6046343069722,S,773.6023796326098,1272.6040793701882,688.8679858423552,6.022804133817132,3.5550023953474064
90,116.77626374928806,9.337403750509706,1.5542369346246878,1.6547226395669512,2.407484781301633,345.6157687624156,S,1241.3737699994583,2063.7836057133572,142.88077240975662,6.330734118094726,3.997894861892636
105,86.95674334110699,4.659021269619298,2.3944467002810375,0.19889935044361456,1.3950081890053356,78.42400499897653,S,962.3635616778844,1574.766105733516,588.4327749128744,5.6685546625807035,3.1918044802804406
120,45.8998309164501,7.525072075560345,1.9505431855389663,3.2841221595550407,0.2788573642987587,194.20887525494228,P,572.5565356164516,895.8112039139171,36.8096839935896,5.893907557700217,3.240380108510445
135,49.73573902811153,0.725527965958107,4.409920739663345,1.9135927943717583,2.2033500647041704,0.5765454119919466,S,625.3772694033901,975.6467475486686,441.728600085987,6.108758881988892,3.066560382924732
150,167.05516664982704,2.170350613030358,1.8891735186866896,3.1212655439731765,1.7089600021803617,37.1234094674348,P,1797.106448245753,2973.6110541355765,223.89021395871941,5.632403820261548,3.451289151195133
165,146.70672091801993,3.1962224867664553,1.3929385027870975,4.322128695465827,0.3565050138959219,250.4770834693916,S,1611.47777659926,2644.676188455874,336.0994700245186,6.490893252366264,3.677016386143811
180,33.18440742935968,2.835045130246218,3.620556401416383,1.668199261290038,0.05632196040415256,224.35932494364866,S,507.1868362663968,740.891719313823,506.7452808444612,5.664679365128098,3.0746436387968283
195,53.270043495290054,0.3322389593621843,1.110726157498651,3.394207645402421,2.0770206746599262,0.3444623265672453,S,720.2242950578315,1095.3845058134254,678.4975559994218,6.093504399818574,3.717918819787238
210,8.493339711748016,3.3583321791087855,4.043326197168817,4.851711476821457,0.7622692770598258,281.8795216258193,P,293.74140642824807,353.55669673413956,463.4716834311911,5.944310181110655,3.291962428683324
225,131.33522358496273,1.1085508554978656,4.489927487629976,3.033415910040375,1.1605165894340772,102.23013651638102,S,1519.9201032616718,2444.863034162866,46.968061022131316,6.085476395190915,3.527917156630512
240,47.24198823630868,0.10479672808307708,4.385097506136965,3.977869791772802,0.14417851176961055,146.86175029661317,P,705.7897448636293,1038.4967054805074,354.68843711511977,5.6931246820556325,3.218552571436593
255,20.391291743220673,4.841796556343257,2.9008031732392023,3.466027115839751,1.6963100900437396,16.85076928530649,S,456.0511185728353,599.659060410575,44.73274874199237,6.0081271540224375,3.3824759156728965
270,26.432632675630146,5.21615169818001,1.1076287436739058,2.8651770812491133,2.47600414908426,151.11349785559548,S,530.6166609345445,716.7714187449334,293.87981259549855,6.150399743319354,3.1753290444200495
285,43.631580136205656,4.712281792962375,0.07354406358084994,3.93649942963046,2.097184028085495,332.0294413866898,S,715.1923635809324,1022.4726232815983,24.710606798068135,6.021805751356896,3.8967930952670566
