bulk_modulus,shear_modulus,density,vp,vs
50.64673473387902,42.875296818543546,3065.883501446341,6053.287929654684,3710.329017707725
31.474309780487115,19.737646443714727,2624.684970392478,5345.252837826926,2655.6475199372703
44.5335894977983,34.20640432478345,2929.0570409458965,5728.858161076636,3335.3285243275245
42.767860148380755,33.868060158712254,2865.8078639265564,5780.327536131888,3364.744533766917
100.64366381229908,63.275666450627455,3722.0885257727928,7263.111723245855,4119.213358017947
71.08321576235394,72.43860579672851,3101.0705150505764,7438.4775501134845,4585.003668969851
30.693978825460928,20.67478468554208,2761.0729449244795,4956.779977699835,2582.130433176233
64.15983030199624,59.47275848633352,3272.7268650648366,6715.705938280815,4138.179538150803
29.978211099774658,22.018174631615466,2862.317104995434,4848.007419555148,2622.8295898402444
66.75256185725891,73.97550098038907,2979.5210816716963,7560.152207501627,4717.438706986572
94.820977487037,9.39755437049563,5331.547648574526,4764.837114338147,1297.8689605754405
59.33632055576846,48.303721194681344,3103.6679944730085,6406.908565041497,3927.2003693244774
296.41888976457614,0.23308112710383327,4594.7995103530375,7730.12587163792,220.35434590257182
93.85276671360137,41.538726056316655,4179.292905031097,6379.482509716715,3263.1882939211555
114.62440094919788,15.826496508099202,5088.72632897921,5347.323418877214,1833.2756421798779
139.8986085115673,48.8217216875073,3727.7011461688708,7608.94555810167,3818.9979385391116
31.148890103523335,7.14489498674554,3919.386613416444,3869.9738679520287,1191.336557693749
32.97211966117404,25.159944953223064,3027.8691269655633,4896.486348588294,2784.7982289700076
55.28764734343672,44.426138808891146,2763.1964321185865,6636.343889778052,3974.478037104934
92.27169571900495,66.36655238445303,3589.9638080606674,7314.032679445527,4253.907512995765
242.9609507074822,9.348334212242317,5050.007561253071,6886.965604322984,1444.8850430708
17.76349391380422,9.203644139098895,2587.182021810757,4124.947833748295,1560.9011821270165
122.5413799826126,11.768788431867659,5548.614468625662,5140.028563650461,1471.3459156016213
221.37831139307465,14.563450896856008,4903.495375187125,7011.876109931785,1887.3158003573958
38.6116103618962,29.83026919526109,3219.775157054789,5131.767869450785,3030.9163097047426
40.80041229894201,32.315450678824895,2983.8140457588083,5462.787316296379,3184.0251915546414
168.72665865122576,7.153955046935699,6008.493222619279,5628.760806614437,1147.4071028353644
46.292512938226466,39.093526312615104,2725.556461385503,6346.342594547748,3726.993760799131
41.93097100934978,31.5230118974147,2868.641426038009,5635.953175377626,3219.6018416987563
144.37095928121525,17.434163689461865,5264.148202911374,5793.354696111144,1923.2445794143655
164.93450122900688,4.536073385602235,6107.653449318793,5465.941953693318,911.3387489681099
26.31331121202106,19.560281952789598,2911.772154521148,4532.603653956237,2412.24196252069
150.14720121929136,2.729591792837597,6405.361798538992,4894.795275745704,570.116504225831
16.825220497497753,8.918386347019355,2598.55904201735,4008.536542264526,1505.9010688444075
38.862817542997334,20.2603673941886,3627.539738473238,4588.2008198384265,2356.2468427687286
272.9032685880945,3.316640042337013,5064.979286495947,7145.62856687081,898.5808600121295
12.489660396263787,3.67203619114177,2524.9201065291772,3552.3280543820456,846.919106503114
20.03136971027652,13.234204890218026,2719.1942792897903,4215.86521894813,1965.2475822180866
16.38237296319478,8.790503516972924,2600.7435527149873,3976.3918037997855,1518.2611167396713
254.3394280165332,7.422660393348108,4795.407515509769,7002.2452534568565,1324.4182691520361
53.76588066310716,48.79170923234807,3131.735252956796,6275.380065526856,3904.5865859301107
25.947833899291197,19.35848372938006,3113.178811693868,4468.725343691159,2362.173753869368
236.80614466596234,7.398901874052824,5479.196571279696,6670.591654295292,1253.1351818998255
